Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Alternate CCN 2,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Patients Included in Hemoglobin Measure Score Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Patients Included in Hemoglobin Measure Score Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Hemodialysis  Measure Score Performance Period,Number of Kt/V Adult Hemodialysis Patient Months Performance Period,Kt/V Adult Hemodialysis Baseline Period Rate,Number of Kt/V Adult Hemodialysis  Patient Months Baseline Period,Kt/V Adult Hemodialysis Performance Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Peritoneal Dialysis Measure Score  Performance Period,Number of Kt/V Adult Peritoneal Dialysis Patient Months Performance Period,Kt/V Adult Peritoneal Dialysis Baseline Period Rate,Number of Kt/V Adult Peritoneal Dialysis Patient Months Baseline Period,Kt/V Adult Peritoneal Dialysis Performance Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Pediatric Hemodialysis  Measure Score Performance Period,Number of Kt/V Pediatric Hemodialysis Patient Months Performance Period,Kt/V Pediatric Hemodialysis Baseline Period Rate,Number of Kt/V Pediatric Hemodialysis Patient Months Baseline Period,Kt/V Pediatric Hemodialysis Performance Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,Fistula Measure Score,Fistula Performance Period Rate,Number of Patients Included in Fistula Measure Score  Performance Period,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of  Patients Included in Catheter Measure Score Performance Period,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,Hypercalcemia Measure Score,Hypercalcemia Performance Period Rate,Number of  Patients Included in Hypercalcemia Measure Score Performance Period,Number of Hypercalcemia Patient Months Performance Period,Hypercalcemia Baseline Period Rate,Number of Hypercalcemia Patient Months Baseline Period,Hypercalcemia Performance Score Applied,NHSN Measure Score,NHSN Performance Period  Rate,Total number of eligible NHSN Patients,ICH CAHPS Admin Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,Total Performance Score,PY2016 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2013",Date of ownership record update
LEBANON COUNTY DIALYSIS,392557,,,440 OAK STREET,,LEBANON,PA,17042,4,10,0%,58,0%,52,Achievement,9,97%,72,633,95%,544,Achievement,N/A,Insufficient data,10,92,Insufficient data,51,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,4,59%,63,670,53%,579,Achievement,2,18%,66,632,22%,380,Achievement,3,5,3%,66,558,Insufficient data,0,Achievement,5,0.939,111,10,8,10,72,No Reduction,01/31/1989,NOT A CHAIN,12/13/2008
"DCI RENAL SERVICES OF PITTSBURGH, LLC - MONROEVILLE",392563,,,4445 OLD WILLIAM PENN HIGHWAY,,MONROEVILLE,PA,15146,4,10,0%,13,0%,15,Achievement,9,97%,22,169,94%,197,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,10,86%,17,174,83%,213,Achievement,5,12%,16,160,10%,190,Achievement,8,6,2%,39,357,0%,400,Achievement,8,0.376,69,10,10,10,88,No Reduction,12/05/1989,"DIALYSIS CLINIC, INC.",09/02/2008
"DCI RENAL SERVICES OF PITTSBURGH, LLC - BANKSVILLE",392567,,,2727 BANKSVILLE ROAD,,PITTSBURGH,PA,15216,4,0,4%,24,0%,24,Achievement,8,96%,36,268,96%,273,Achievement,N/A,Insufficient data,1,4,Insufficient data,1,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,4,59%,31,279,57%,284,Achievement,0,20%,33,248,14%,260,Achievement,2,10,0%,77,566,1%,662,Achievement,7,0.407,103,10,7,10,61,No Reduction,08/16/1990,"DIALYSIS CLINIC, INC.",09/02/2008
BELMONT COURT DIALYSIS - WARMINSTER CAMPUS,392572,,,225 NEWTOWN ROAD,,WARMINSTER,PA,18974,4,N/A,Insufficient data,10,Insufficient data,9,N/A,10,99%,11,102,92%,111,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,N/A,Insufficient data,9,96,37%,111,N/A,6,10%,11,95,10%,99,Achievement,6,10,0%,19,163,1%,196,Achievement,0,2.004,25,0,10,10,63,No Reduction,08/10/1992,"BELMONT COURT DIALYSIS CENTER, INC.",06/11/2005
DAVITA - JEFFERSON DIALYSIS,392573,,,14 CLAIRTON BOULEVARD,,PITTSBURGH,PA,15236,4,10,0%,20,0%,18,Achievement,8,96%,23,186,98%,155,Achievement,N/A,Insufficient data,5,22,Insufficient data,29,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,9,74%,19,197,88%,162,Achievement,10,1%,21,178,3%,154,Achievement,10,10,0%,60,471,0%,481,Achievement,8,0.314,80,10,9,9,92,No Reduction,09/28/1992,DAVITA,01/04/2006
"DIALYSIS CLINIC, INC. (HEMPFIELD)",392574,,,6710 STATE ROUTE 30,,JEANNETTE,PA,15644,4,10,0%,21,0%,20,Achievement,6,93%,27,254,87%,243,Achievement,N/A,Insufficient data,6,39,Insufficient data,8,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,6,8,72%,24,265,70%,260,Achievement,4,14%,24,248,22%,234,Achievement,6,8,1%,61,474,1%,515,Achievement,10,0,75,10,9,10,84,No Reduction,01/08/1993,"DIALYSIS CLINIC, INC.",02/23/2015
DIALYSIS CENTER OF BRYN MAWR,392575,,,780 W. LANCASTER & ELLIOTT AVE,,BRYN MAWR,PA,19010,4,10,0%,46,0%,45,Achievement,7,94%,62,460,91%,497,Achievement,N/A,Insufficient data,4,32,Insufficient data,12,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,7,5,62%,49,481,65%,508,Achievement,6,10%,55,455,10%,478,Achievement,6,6,2%,67,534,3%,637,Achievement,0,2.201,104,10,8,10,67,No Reduction,01/06/1993,FRESENIUS MEDICAL CARE,01/02/1980
BELMONT COURT DIALYSIS - NORTHEAST CAMPUS,392577,,,"2200 MICHENER STREET, SUITE 20",,PHILADELPHIA,PA,19115,4,10,0%,43,0%,42,Achievement,8,96%,53,482,96%,492,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,1,50%,46,467,54%,476,Achievement,8,6%,49,450,4%,460,Achievement,5,8,1%,54,449,5%,554,Achievement,0,Not Reported,72,0,10,10,62,No Reduction,12/21/1992,"BELMONT COURT DIALYSIS CENTER, INC.",01/01/2004
FRESENIUS MEDICAL CARE ELLWOOD CITY,392578,,,1407 WOODSIDE AVENUE,,ELLWOOD CITY,PA,16117,4,10,0%,11,Insufficient data,6,Achievement,8,95%,15,97,86%,86,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,9,76%,13,115,Insufficient data,76,Achievement,2,17%,12,92,Insufficient data,69,Achievement,6,1,6%,31,211,7%,183,Improvement,6,0.793,39,10,9,10,73,No Reduction,05/10/1993,FRESENIUS MEDICAL CARE,05/10/1993
DAVITA - CORRY DIALYSIS,392580,,,300 YORK STREET,,CORRY,PA,16407,4,10,0%,20,5%,21,Achievement,9,97%,30,228,98%,236,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,7,69%,25,251,73%,248,Achievement,6,9%,27,223,8%,231,Achievement,6,10,0%,34,252,0%,297,Achievement,0,4.860,51,10,7,10,73,No Reduction,09/15/1993,DAVITA,01/04/2006
DCI OF NORTH HILLS,392581,,,3412 BABCOCK BLVD.,,PITTSBURGH,PA,15237,4,10,0%,30,0%,23,Achievement,9,97%,36,276,95%,259,Achievement,N/A,Insufficient data,3,27,Insufficient data,38,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,5,62%,32,294,65%,265,Achievement,0,31%,34,260,17%,259,Achievement,2,8,1%,85,625,1%,706,Achievement,6,0.610,94,10,10,10,77,No Reduction,10/05/1993,"DIALYSIS CLINIC, INC.",01/02/1980
PALMERTON DIALYSIS CENTER,392584,,,185-C DELAWARE AVENUE,,PALMERTON,PA,18071,4,10,0%,41,0%,36,Achievement,8,95%,52,419,97%,331,Achievement,N/A,Insufficient data,10,82,Insufficient data,63,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,8,72%,47,465,75%,397,Achievement,5,12%,47,425,12%,365,Achievement,7,10,0%,62,485,0%,500,Achievement,0,3.709,79,10,10,10,76,No Reduction,09/14/1993,DAVITA,07/24/2006
"DCI RENAL SERVICES OF PITTSBURGH, LLC - POINT BREEZE",392586,,,7620 MEADE STREET,,PITTSBURGH,PA,15221,4,10,0%,23,0%,21,Achievement,7,94%,35,328,96%,278,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,7,8,71%,31,343,69%,304,Achievement,5,12%,33,313,9%,277,Achievement,6,6,2%,63,515,1%,626,Achievement,10,0,80,10,10,10,84,No Reduction,10/20/1991,"DIALYSIS CLINIC, INC.",10/24/2009
READING DIALYSIS CENTER,392587,,,965 BERKSHIRE BOULEVARD,,READING,PA,19610,4,10,0%,79,0%,63,Achievement,8,96%,93,769,98%,635,Achievement,N/A,Insufficient data,9,56,81%,72,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,2,53%,84,837,49%,700,Achievement,3,16%,87,759,16%,635,Achievement,3,10,0%,145,1118,0%,1069,Achievement,5,0.827,172,10,10,10,77,No Reduction,10/29/1993,DREILING MEDICAL MANAGEMENT,11/03/2014
DCI OF MOUNT PLEASANT,392588,,,20 EAST MAIN STREET,,MOUNT PLEASANT,PA,15666,4,0,5%,21,0%,19,Achievement,10,99%,26,213,97%,195,Achievement,N/A,Insufficient data,4,23,Insufficient data,36,N/A,N/A,Insufficient data,0,0,Insufficient data,1,N/A,10,5,63%,22,224,56%,195,Achievement,4,19%,25,208,30%,196,Improvement,4,8,1%,50,409,1%,479,Achievement,7,0.462,69,10,9,10,66,No Reduction,12/09/1993,"DIALYSIS CLINIC, INC.",06/13/2003
FRESENIUS MEDICAL CARE MOUNT PLEASANT,392590,,,208 CROSS ROADS PLAZA,,MOUNT PLEASANT,PA,15666,4,10,0%,22,0%,23,Achievement,10,98%,28,296,97%,260,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,10,78%,27,298,74%,270,Achievement,8,5%,26,281,8%,244,Achievement,9,0,7%,49,397,3%,504,Achievement,8,0.266,75,10,9,10,84,No Reduction,04/25/1994,FRESENIUS MEDICAL CARE,11/21/2002
FRESENIUS MEDICAL CARE SHADYSIDE,392592,,,4925 BAUM BOULEVARD,,PITTSBURGH,PA,15213,4,10,0%,34,0%,41,Achievement,6,93%,50,369,87%,401,Achievement,N/A,Insufficient data,5,35,Insufficient data,26,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,6,6,67%,40,403,78%,456,Achievement,7,8%,42,381,5%,374,Achievement,7,7,2%,77,626,7%,770,Improvement,8,0.292,101,10,7,10,80,No Reduction,05/12/1994,FRESENIUS MEDICAL CARE,04/02/2004
DAVITA - PARIS DIALYSIS,392595,,,32 STEUBENVILLE PIKE,,PARIS,PA,15021,4,10,0%,41,0%,53,Achievement,8,95%,56,402,97%,443,Achievement,10,95%,15,63,94%,110,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,8,73%,50,490,71%,561,Achievement,5,12%,57,452,16%,507,Achievement,6,10,0%,72,591,1%,837,Achievement,8,0.310,94,10,9,10,86,No Reduction,02/24/1995,DAVITA,01/04/2006
DCI OF WASHINGTON,392597,,,280 NORTH AVENUE,,WASHINGTON,PA,15301,4,10,0%,11,0%,12,Achievement,10,100%,17,133,98%,122,Achievement,N/A,Insufficient data,1,8,Insufficient data,2,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,6,67%,13,135,46%,147,Achievement,4,19%,14,123,31%,125,Improvement,5,10,0%,25,201,0%,217,Achievement,3,1.275,35,10,10,10,81,No Reduction,12/05/1994,"DIALYSIS CLINIC, INC.",01/01/2004
DAVITA - LEWISTOWN DIALYSIS,392598,,,611 ELECTRIC AVENUE,,LEWISTOWN,PA,17044,4,10,0%,58,0%,51,Achievement,9,97%,69,632,98%,501,Achievement,N/A,Insufficient data,6,32,95%,74,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,9,76%,67,700,80%,569,Achievement,4,14%,69,647,7%,529,Achievement,6,10,0%,94,820,0%,851,Achievement,0,3.689,129,10,10,10,76,No Reduction,05/09/1995,DAVITA,06/26/2007
DAVITA - DELAWARE VALLEY DIALYSIS CENTER,392600,,,102 DAVITA DRIVE,,MILFORD,PA,18337,4,10,0%,29,0%,30,Achievement,8,95%,45,298,93%,335,Achievement,N/A,Insufficient data,4,41,Insufficient data,22,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,9,75%,31,287,80%,351,Achievement,10,2%,36,260,8%,330,Achievement,10,10,0%,51,328,0%,462,Achievement,10,0,82,10,10,10,97,No Reduction,07/28/1995,DAVITA,10/07/2006
MEMPHIS STREET RENAL CENTER,392601,,,3310-24 MEMPHIS STREET,,PHILADELPHIA,PA,19134,4,0,2%,46,0%,45,Achievement,10,98%,53,484,99%,528,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,1,12,Insufficient data,1,N/A,10,7,70%,48,500,73%,548,Achievement,6,9%,51,476,9%,531,Achievement,6,10,0%,78,652,0%,854,Achievement,0,1.936,104,10,10,10,61,No Reduction,08/30/1995,NATIONAL RENAL INSTITUTES,06/28/2006
US RENAL CARE WELLSBORO,392602,,,70 PLAZA LANE,,WELLSBORO,PA,16901,4,10,0%,27,0%,32,Achievement,8,96%,42,370,97%,382,Achievement,N/A,Insufficient data,2,9,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,7,69%,34,379,70%,396,Achievement,4,14%,37,361,14%,369,Achievement,5,5,3%,41,363,5%,427,Achievement,0,2.334,62,10,10,9,66,No Reduction,09/28/1995,"US RENAL CARE, INC.",12/31/2013
FRESENIUS MEDICAL CARE WHITEHALL,392603,,,1320 MICKLEY ROAD,,WHITEHALL,PA,18052,4,10,0%,76,0%,72,Achievement,8,96%,109,1000,95%,947,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,5,62%,100,1041,60%,1000,Achievement,7,7%,104,973,9%,941,Achievement,6,10,0%,139,1130,1%,1221,Achievement,2,1.449,163,10,10,10,77,No Reduction,11/03/1995,FRESENIUS MEDICAL CARE,10/19/2010
DAVITA - ELIZABETHTOWN DIALYSIS,392604,,,844 NORTH HANOVER STREET,,ELIZABETHTOWN,PA,17022,4,10,0%,22,0%,18,Achievement,10,98%,27,221,99%,182,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,10,89%,25,239,75%,201,Achievement,10,0%,26,217,5%,189,Achievement,10,10,0%,37,272,0%,321,Achievement,0,2.242,59,10,8,10,82,No Reduction,11/06/1995,DAVITA,07/27/2011
DAVITA - POCONO DIALYSIS CENTER,392606,,,"447 OFFICE PLAZA, BUILDING 100, SUITE B",,EAST STROUDSBURG,PA,18301,4,2,1%,67,0%,64,Achievement,6,93%,107,754,96%,787,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,6,10,81%,78,768,82%,804,Achievement,7,7%,84,714,6%,740,Achievement,8,5,3%,87,638,2%,878,Achievement,8,0.205,171,10,7,10,66,No Reduction,10/20/1995,DAVITA,11/09/2002
DAVITA - LANCASTER,392609,,,1412 EAST KING STREET,,LANCASTER,PA,17602,4,10,0%,67,0%,72,Achievement,10,98%,101,826,99%,914,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,10,77%,82,842,82%,939,Achievement,9,4%,87,811,4%,900,Achievement,9,10,0%,111,870,0%,1242,Achievement,0,2.485,183,10,10,10,82,No Reduction,07/23/1996,DAVITA,01/10/2008
"DCI RENAL SERVICES OF PITTSBURGH, LLC - OAKLAND",392610,,,3260 FIFTH AVENUE,,PITTSBURGH,PA,15213,4,0,2%,65,2%,66,Achievement,7,94%,62,496,92%,550,Achievement,4,78%,17,165,80%,205,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,6,9,74%,61,656,70%,670,Achievement,4,14%,65,629,15%,640,Achievement,6,1,5%,122,994,1%,1219,Achievement,2,1.594,122,10,10,10,49,0.5%,01/01/1996,"DIALYSIS CLINIC, INC.",09/02/2008
US RENAL CARE BEDFORD,392612,,,141 MEMORIAL DRIVE,,EVERETT,PA,15537,4,10,0%,13,0%,15,Achievement,9,97%,24,144,97%,168,Achievement,N/A,Insufficient data,3,18,Insufficient data,16,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,0,48%,20,170,67%,177,Achievement,0,31%,23,148,21%,183,Achievement,0,6,2%,52,365,3%,437,Achievement,8,0.220,75,10,9,10,74,No Reduction,03/15/1996,"US RENAL CARE, INC.",06/01/2014
DAVITA - NORTHUMBERLAND DIALYSIS,392613,,,103 WEST STATE ROUTE 61,,MT. CARMEL,PA,17851,4,10,0%,36,0%,40,Achievement,10,100%,46,470,99%,527,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,10,87%,42,479,85%,539,Achievement,10,2%,43,469,7%,506,Achievement,10,10,0%,53,487,0%,613,Achievement,10,0,70,10,10,10,100,No Reduction,05/08/1996,DAVITA,01/04/2006
DAVITA - ABINGTON DIALYSIS,392614,,,3940-A COMMERCE AVENUE,,WILLOW GROVE,PA,19090,4,10,0%,77,0%,90,Achievement,10,99%,75,569,99%,617,Achievement,8,91%,27,209,90%,220,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,7,68%,69,700,72%,759,Achievement,7,7%,75,637,8%,709,Achievement,7,10,0%,136,1126,0%,1394,Achievement,0,3.303,147,10,10,10,77,No Reduction,06/17/1996,DAVITA,01/04/2006
NEWTOWN DIALYSIS CENTER,392616,,,60 BLACKSMITH ROAD,,NEWTOWN,PA,18940,4,10,0%,43,0%,47,Achievement,8,96%,62,415,97%,470,Achievement,N/A,Insufficient data,4,33,Insufficient data,22,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,10,78%,46,452,74%,527,Achievement,7,7%,53,430,7%,507,Achievement,8,10,0%,60,417,0%,641,Achievement,1,1.801,107,10,3,9,72,No Reduction,06/01/1996,DAVITA,01/02/2008
FRESENIUS - SELLERSVILLE DIALYSIS,392617,,,1105 BETHLEHEM PIKE,,SELLERSVILLE,PA,18960,4,10,0%,35,0%,35,Achievement,8,94%,53,425,64%,355,Improvement,N/A,Insufficient data,2,13,Insufficient data,26,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,1,52%,48,444,53%,396,Achievement,7,7%,49,391,11%,360,Achievement,4,0,6%,61,398,1%,383,Achievement,4,1.095,87,10,8,10,65,No Reduction,12/19/1996,FRESENIUS MEDICAL CARE,05/02/2010
BELMONT COURT DIALYSIS - ROOSEVELT CAMPUS,392618,,,6593 ROOSEVELT BOULEVARD,,PHILADELPHIA,PA,19149,4,10,0%,14,0%,25,Achievement,0,82%,32,177,96%,279,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,0,0,43%,16,148,58%,272,Achievement,8,6%,21,143,7%,264,Achievement,5,10,0%,39,262,0%,425,Achievement,0,2.174,67,0,10,10,51,0.5%,12/15/1996,"BELMONT COURT DIALYSIS CENTER, INC.",01/01/2004
FRESENIUS MEDICAL CARE CARBON COUNTY,392620,,,168 SARGENT STANLEY HOFFMAN BOULEVARD,,LEHIGHTON,PA,18235,4,10,0%,32,0%,30,Achievement,8,95%,40,348,93%,347,Achievement,N/A,Insufficient data,3,33,Insufficient data,11,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,7,68%,36,370,62%,361,Achievement,6,9%,39,332,8%,338,Achievement,6,5,3%,48,380,2%,510,Achievement,4,1.171,67,10,9,5,70,No Reduction,04/02/1997,FRESENIUS MEDICAL CARE,06/06/2003
FRESENIUS MEDICAL CARE PITTSTON,392621,,,455 NORTH MAIN STREET,,PITTSTON,PA,18640,4,10,0%,28,0%,32,Achievement,3,89%,46,341,86%,300,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,3,9,76%,41,398,74%,404,Achievement,5,12%,41,365,16%,346,Achievement,7,10,0%,55,447,1%,399,Achievement,1,1.795,90,10,7,10,67,No Reduction,04/30/1997,FRESENIUS MEDICAL CARE,04/30/1997
DCI OF BEAVER FALLS / CHIPPEWA,392622,,,2562 CONSTITUTION BOULEVARD,,BEAVER FALLS,PA,15010,4,N/A,Insufficient data,8,0%,11,N/A,1,87%,12,94,96%,129,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,1,10,90%,11,96,85%,124,Achievement,9,4%,11,82,2%,115,Achievement,10,8,1%,19,128,0%,158,Achievement,10,0,27,N/A,10,10,79,No Reduction,05/20/1997,"DIALYSIS CLINIC, INC.",01/02/1980
DCI OF GROVE CITY,392623,,,631 NORTH BROAD STREET EXTENSION,,GROVE CITY,PA,16127,4,0,5%,21,0%,23,Achievement,8,95%,32,270,92%,247,Achievement,N/A,Insufficient data,2,15,Insufficient data,17,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,8,71%,27,279,57%,250,Achievement,1,24%,29,254,29%,232,Improvement,4,5,3%,39,319,0%,373,Achievement,1,1.733,58,10,10,10,51,0.5%,06/02/1997,"DIALYSIS CLINIC, INC.",01/02/1980
FRESENIUS MEDICAL CARE REDSTONE,392626,,,685 B NATIONAL PIKE WEST,,BROWNSVILLE,PA,15417,4,10,0%,22,0%,28,Achievement,6,93%,26,229,95%,308,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,6,4,61%,23,235,58%,330,Achievement,6,10%,24,216,10%,310,Achievement,5,8,1%,43,349,2%,541,Achievement,0,2.663,58,10,9,10,66,No Reduction,07/01/1997,FRESENIUS MEDICAL CARE,12/04/2007
US RENAL CARE CARLISLE,392627,,,"101 NOBLE BOULEVARD, SUITE 103",,CARLISLE,PA,17013,4,10,0%,19,0%,20,Achievement,7,94%,26,190,94%,238,Achievement,N/A,Insufficient data,4,42,Insufficient data,39,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,7,1,51%,21,212,56%,247,Achievement,0,34%,27,205,24%,233,Achievement,0,1,5%,36,292,1%,405,Achievement,7,0.596,50,10,6,10,61,No Reduction,07/28/1997,"US RENAL CARE, INC.",06/08/2011
DAVITA - SELINSGROVE DIALYSIS,392628,,,1030 NORTH SUSQUEHANNA TRAIL,,SELINSGROVE,PA,17870,4,10,0%,41,0%,40,Achievement,7,94%,46,329,96%,257,Achievement,10,100%,17,141,98%,149,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,10,78%,47,457,76%,410,Achievement,4,13%,48,411,13%,378,Achievement,7,8,1%,77,664,0%,699,Achievement,7,0.581,87,10,7,10,82,No Reduction,08/06/1997,DAVITA,08/02/2006
FRESENIUS MEDICAL CARE CAMBRIA,392629,,,2850 NORTH 21ST STREET,,PHILADELPHIA,PA,19132,4,10,0%,44,0%,36,Achievement,4,91%,57,547,90%,451,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,4,0,48%,53,572,51%,465,Achievement,6,10%,53,535,9%,438,Achievement,3,8,1%,74,627,0%,678,Achievement,6,0.655,98,10,8,10,69,No Reduction,08/05/1997,FRESENIUS MEDICAL CARE,01/02/1980
DAVITA - RADNOR DIALYSIS,392630,,,250 KING OF PRUSSIA ROAD,,RADNOR,PA,19087,4,10,0%,38,0%,45,Achievement,10,98%,40,324,98%,390,Achievement,10,100%,16,142,98%,125,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,4,61%,36,374,56%,456,Achievement,8,5%,40,366,7%,435,Achievement,6,8,1%,68,539,1%,723,Achievement,0,2.164,77,10,9,10,75,No Reduction,07/25/1997,DAVITA,01/04/2006
FRESENIUS MEDICAL CARE PENN HILLS,392632,,,11624 KELEKET DRIVE,,PITTSBURGH,PA,15235,4,10,0%,30,0%,26,Achievement,8,95%,41,368,96%,330,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,10,79%,37,374,78%,336,Achievement,7,8%,37,356,10%,321,Achievement,9,6,2%,57,478,1%,588,Achievement,10,0,79,10,7,10,88,No Reduction,10/15/1997,FRESENIUS MEDICAL CARE,01/02/1980
FRESENIUS MEDICAL CARE ALTOONA,392633,,,1602 NINTH AVENUE,,ALTOONA,PA,16602,4,10,0%,61,0%,64,Achievement,7,94%,78,680,92%,792,Achievement,N/A,Insufficient data,8,55,Insufficient data,30,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,7,9,75%,69,722,79%,845,Achievement,6,9%,76,703,7%,802,Achievement,7,1,5%,139,1139,4%,1446,Achievement,1,1.760,179,10,9,4,60,No Reduction,12/08/1997,FRESENIUS MEDICAL CARE,01/02/1980
FRESENIUS MEDICAL CARE CUMBERLAND,392634,,,254 EAST HIGH STREET,,CARLISLE,PA,17013,4,10,0%,24,0%,20,Achievement,9,97%,38,266,92%,178,Achievement,8,89%,11,69,Insufficient data,48,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,6,66%,30,311,69%,216,Achievement,5,11%,31,288,7%,191,Achievement,5,6,2%,56,430,2%,387,Achievement,8,0.274,74,10,10,3,77,No Reduction,03/20/1998,FRESENIUS MEDICAL CARE,04/26/2008
DCI OF SEVEN FIELDS,392636,,,201 HIGHPOINTE DRIVE,,SEVEN FIELDS,PA,16046,4,10,0%,24,0%,20,Achievement,9,97%,28,222,93%,221,Achievement,N/A,Insufficient data,4,34,Insufficient data,36,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,10,84%,25,234,78%,203,Achievement,9,3%,25,198,12%,200,Achievement,10,6,2%,56,441,0%,536,Achievement,10,0,68,10,6,10,91,No Reduction,06/03/1998,"DIALYSIS CLINIC, INC.",01/02/1980
